1A0X1,In-Flight Refueling
2M072,Missile and Space Systems Maintenance Craftsman
2M073,Missile and Space Facilities Craftsman
2P071,Precision Measurement Equipment Laboratory Craftsman
2R071,Maintenance Management Analysis Craftsman
2R171,Maintenance Management Production Craftsman
2S071,Materiel Management Craftsman
2T071,Traffic Management Craftsman
2T171,Vehicle Operations Craftsman
2T271,Air Transportation Craftsman
2T371,Mission Generation Vehicular Equipment Maintenance Craftsman
2T377,Fleet Management and Analysis Craftsman
2W071,Munitions Systems Craftsman
2W171,Aircraft Armament Systems Craftsman
2W271,Nuclear Weapons Craftsman
3A171,Administration Craftsman
3D071,Knowledge Operations Management Craftsman
3D072,Cyber Systems Operations Craftsman
3D073,Cyber Surety Craftsman
3D074,Computer Systems Programming Craftsman
3D171,Client Systems Craftsman
3D172,Cyber Transport Systems Craftsman
3D173,RF Transmission Systems Craftsman
3D174,Spectrum Operations Craftsman
3D177,Cable and antenna systems Craftsman
3E071,Electrical Systems Craftsman
3E072,Electrical Power Production Craftsman
3E171,Heating, Ventilation, AC, and Refrigeration Craftsman
3E271,Pavements and Construction Equipment Craftsman
3E371,Structural Craftsman
3E471,Water and Fuel Systems Maintenance Craftsman
3E473,Pest Management Craftsman
3E571,Engineering Craftsman
3E671,Operations Management Craftsman
3E771,Fire Protection Craftsman
3E871,Explosive Ordnance Disposal Craftsman
3E971,U.S. Air Force Emergency Management Craftsman
3G071,Air National Guard Strength Management Craftsman
3H071,Historian Craftsman
3M071,Services Craftsman
3N072,Broadcast Journalist Craftsman
3N075,Photojournalist Craftsman
3N171,Regional Band Craftsman
3N271,Premier Band Craftsman
3P071,Security Forces Craftsman
3P071A,Military Working Dog Handler Craftsman
3P071B,Combat Arms Training and Maintenance Craftsman
3S071,Personnel Craftsman
3S171,Equal Opportunity Craftsman
3S271,Education and Training Craftsman
3S373,Manpower Craftsman
4A071,Health Services Management Craftsman
4A171,Medical Material Craftsman
4A271,Biomedical Equipment Craftsman
4B071,Bioenvironmental Engineering Craftsman
4C071,Mental Health Service Craftsman
4D071,Diet Therapy Craftsman
4E071,Public Health Craftsman
4H071,Cardiopulmonary Laboratory Craftsman
4J072,Physical Medicine Craftsman
4J072A,Orthotics Craftsman
4M071,Aerospace and Operational Physiology Craftsman
4N071,Aerospace Medical Service Craftsman
4N071B,Neurodiagnostic Medical Technician Craftsman
4N071C,Independent Duty Medical Technician Craftsman
4N071F,Flight and Operational Medical Technician Craftsman
4N171,Surgical Service Craftsman
4P071,Pharmacy Craftsman
4R071,Diagnostic Imaging Craftsman
4T071,Medical Laboratory Craftsman
4T072,Histopathology Craftsman
4V071,Ophthalmic Craftsman
4Y071,Dental Assistant Craftsman
4Y071H,Dental Hygienist Craftsman
4Y072,Dental Laboratory Craftsman
5J071,Paralegal Craftsman
5R071,Chaplain Assistant Craftsman
6C071,Contracting Craftsman
6F071,Financial Management & Comptroller Craftsman
7S071,Special Investigations Craftsman
1A091,In-Flight Refueling Superintendent
1A191,Flight Engineer Superintendent
1A291,Aircraft Loadmaster Superintendent
1A391,Airborne Mission Systems Operator Superintendent
1A691,Flight Attendant Superintendent
1A891,Airborne Cryptologic Language Analyst Superintendent
1A892,Airborne Intelligence, Surveillance, and Reconnaissance Operator Superintendent
1A991,Special Missions Aviator Superintendent
1B491,Cyber Warfare Operations Superintendent
1C092,Aviation Resource Management Superintendent
1C191,Air Traffic Control Superintendent
1C291,Combat Control Superintendent
1C391,Command Post Superintendent
1C491,Tactical Air Control Party Superintendent
1C591,Command & Control Battle Management Ops Superintendent
1C691,Space Systems Operations Superintendent
1C791,Airfield Management Superintendent
1C891,Ground Radar Systems Superintendent
1C892,Airfield Systems Superintendent
1N091,All Source Intelligence Analyst/Operations Intelligence Specialist Superintendent
1N191,Geospatial Intelligence Superintendent
1N291,Signals Intelligence Analyst Superintendent
1N391,Cryptologic Language Analyst Superintendent
1N491,Fusion Analyst Superintendent
1N791,Human Intelligence Specialist Superintendent
1P091,Aircrew Flight Equipment Superintendent
1S091,Safety Superintendent
1T091,Survival, Evasion, Resistance, and Escape Superintendent
1T291,Pararescue Superintendent
1U091,Remotely Piloted Aircraft Sensor Operator Superintendent
1U191,Remotely Piloted Aircraft Pilot Superintendent
1W091,Weather Superintendent
1W092,Special Operations Weather Superintendent
2A091,Avionics Test Station and Components Superintendent
2A291,Special Operations Forces/Personnel Recover Integrated Communication/Navigation/Mission Systems Superintendent
2A292,Special Operations Forces/Personnel Recover Integrated Instruments and Flight Control Systems Superintendent
2A293,Special Operations Forces/Personnel Recover Integrated Electronic Warfare Systems Superintendent
2A393,Tactical Aircraft Maintenance Superintendent
2A394,Fighter Aircraft Integrated Avionics Superintendent
2A395,Advanced Fighter Aircraft Integrated Avionics Superintendent
2A397,Tactical Aircraft Maintenance Superintendent
2A398,Remotely Piloted Aircraft Maintenance Superintendent
2A591,Airlift/Special Mission Aircraft Maintenance Superintendent
2A592,Helicopter/Tiltrotor Aircraft Maintenance Superintendent
2A593,Mobility Air Forces Electronic Warfare Systems Superintendent
2A594,Refuel/Bomber Aircraft Maintenance Superintendent
2A691,Aerospace Propulsion Superintendent
2A692,Aerospace Ground Equipment Superintendent
2A693,Aircrew Egress Systems Superintendent
2A694,Aircraft Fuel Systems Superintendent
2A695,Aircraft Hydraulic Systems Superintendent
2A696,Aircraft Electrical and Environmental Systems Superintendent
2A791,Aircraft Metals Technology Superintendent
2A792,Nondestructive Inspection Superintendent
2A793,Aircraft Structural Maintenance Superintendent
2A795,Low Observable Aircraft Structural Maintenance Superintendent
2A891,Mobility Air Forces Communication/Navigation/Mission Systems Superintendent
2A892,Mobility Air Forces Integrated Instrument and Flight Control Systems Superintendent
2A991,Bomber/Special Integrated Communication/Navigation/Mission Systems Superintendent
2A992,Bomber/Special Integrated Instrument and Flight Control Systems Superintendent
2A993,Bomber/Special Electronic Warfare and Radar Surveillance Integrated Avionics Superintendent
2F091,Fuels Superintendent
2G091,Logistics Plans Superintendent
2M091,Missile and Space Systems Electronics Maintenance Superintendent
2M092,Missile and Space Systems Maintenance Superintendent
2M093,Missile and Space Facilities Superintendent
2P091,Precision Measurement Equipment Laboratory Superintendent
2R091,Maintenance Management Analysis Superintendent
2R191,Maintenance Management Production Superintendent
2S091,Materiel Management Superintendent
2T091,Traffic Management Superintendent
2T191,Vehicle Operations Superintendent
2T291,Air Transportation Superintendent
2T391,Mission Generation Vehicular Equipment Maintenance Superintendent
2T397,Fleet Management and Analysis Superintendent
2W091,Munitions Systems Superintendent
2W191,Aircraft Armament Systems Superintendent
2W291,Nuclear Weapons Superintendent
3A191,Administration Superintendent
3D091,Knowledge Operations Management Superintendent
3D092,Cyber Systems Operations Superintendent
3D093,Cyber Surety Superintendent
3D094,Computer Systems Programming Superintendent
3D191,Client Systems Superintendent
3D192,Cyber Transport Systems Superintendent
3D193,RF Transmission Systems Superintendent
3D194,Spectrum Operations Superintendent
3D197,Cable and antenna systems Superintendent
3E091,Electrical Systems Superintendent
3E092,Electrical Power Production Superintendent
3E191,Heating, Ventilation, AC, and Refrigeration Superintendent
3E291,Pavements and Construction Equipment Superintendent
3E391,Structural Superintendent
3E491,Water and Fuel Systems Maintenance Superintendent
3E493,Pest Management Superintendent
3E591,Engineering Superintendent
3E691,Operations Management Superintendent
3E791,Fire Protection Superintendent
3E891,Explosive Ordnance Disposal Superintendent
3E991,U.S. Air Force Emergency Management Superintendent
3G091,Air National Guard Strength Management Superintendent
3H091,Historian Superintendent
3M091,Services Superintendent
3N092,Broadcast Journalist Superintendent
3N095,Photojournalist Superintendent
3N191,Regional Band Superintendent
3N291,Premier Band Superintendent
3P091,Security Forces Superintendent
3P091A,Military Working Dog Handler Superintendent
3P091B,Combat Arms Training and Maintenance Superintendent
3S091,Personnel Superintendent
3S191,Equal Opportunity Superintendent
3S291,Education and Training Superintendent
3S393,Manpower Superintendent
4A091,Health Services Management Superintendent
4A191,Medical Material Superintendent
4A291,Biomedical Equipment Superintendent
4B091,Bioenvironmental Engineering Superintendent
4C091,Mental Health Service Superintendent
4D091,Diet Therapy Superintendent
4E091,Public Health Superintendent
4H091,Cardiopulmonary Laboratory Superintendent
4J092,Physical Medicine Superintendent
4J092A,Orthotics Superintendent
4M091,Aerospace and Operational Physiology Superintendent
4N091,Aerospace Medical Service Superintendent
4N091B,Neurodiagnostic Medical Technician Superintendent
4N091C,Independent Duty Medical Technician Superintendent
4N091F,Flight and Operational Medical Technician Superintendent
4N191,Surgical Service Superintendent
4P091,Pharmacy Superintendent
4R091,Diagnostic Imaging Superintendent
4T091,Medical Laboratory Superintendent
4T092,Histopathology Superintendent
4V091,Ophthalmic Superintendent
4Y091,Dental Assistant Superintendent
4Y091H,Dental Hygienist Superintendent
4Y092,Dental Laboratory Superintendent
5J091,Paralegal Superintendent
5R091,Chaplain Assistant Superintendent
6C091,Contracting Superintendent
6F091,Financial Management & Comptroller Superintendent
7S091,Special Investigations Superintendent
